fields,support_c0,support_c1,num_c0,num_c1,s_diff,n_diff,ratio
Tipo de contratacion != 'adquisiciones' AND Most_used_UC_word_general = '0' AND Entidad federativa != 'bajio' AND Tipo de contratacion != 'servicios' AND Hora_pub > 15.50 AND Plantilla = 'licitacion',0.0,0.03,0.0,277.02,0.03,277.02,1.0
Entidad federativa != 'bajio' AND Most_used_UC_word_material = '1' AND Articulo = '42' AND Most_used_UC_word_general = '0' AND Mes_pub > 1.50 AND Hora_pub <= 19.50 AND Dia_pub <= 14.50 AND Most_used_description_word_adquisicion = '0' AND Most_used_description_word_servici = '0',0.0,0.03,0.0,277.02,0.03,277.02,1.0
Caracter del procedimiento = 'nacional' AND Entidad federativa != 'bajio' AND Hora_pub <= 15.50 AND Plantilla = 'adjudicacion' AND Most_used_UC_word_material = '1' AND Most_used_description_word_adquisicion = '0' AND Articulo = '42' AND Dia_pub <= 14.50 AND Min_pub <= 53.50,0.0,0.03,0.0,277.02,0.03,277.02,1.0
Articulo != '41' AND Caracter del procedimiento = 'nacional' AND Most_used_UC_word_material = '0' AND Mes_pub <= 7.50 AND Dia_pub <= 29.50 AND Articulo != 'no' AND Entidad federativa = 'golfo' AND Plantilla = 'invitacion',0.0,0.02,0.0,184.68,0.02,184.68,1.0
Articulo != '41' AND Caracter del procedimiento = 'nacional' AND Most_used_UC_word_material = '1' AND Entidad federativa = 'pacifico norte' AND Most_used_UC_word_general = '0' AND Plantilla = 'adjudicacion' AND Hora_pub <= 17.50 AND Most_used_description_word_adquisicion = '0',0.0,0.02,0.0,184.68,0.02,184.68,1.0
Tipo de contratacion != 'adquisiciones' AND Plantilla = 'licitacion' AND Tipo de contratacion != 'servicios' AND Mes_pub <= 4.50 AND Entidad federativa != 'centro' AND Entidad federativa != 'bajio' AND Dia_pub > 11.50 AND Most_used_UC_word_general = '0',0.0,0.02,0.0,184.68,0.02,184.68,1.0
Tipo de contratacion != 'adquisiciones' AND Caracter del procedimiento = 'nacional' AND Articulo = '42' AND Mes_pub > 1.50 AND Most_used_UC_word_material = '1' AND Entidad federativa = 'norte' AND Dia_pub <= 14.50,0.0,0.02,0.0,184.68,0.02,184.68,1.0
Entidad federativa != 'bajio' AND Most_used_UC_word_gyr = '0' AND Plantilla != 'licitacion' AND Articulo != '41' AND Articulo != '43' AND Tipo de contratacion != 'obra publica' AND Dia_pub > 29.50 AND Plantilla != 'invitacion',0.0,0.02,0.0,184.68,0.02,184.68,1.0
Most_used_UC_word_general = '0' AND Entidad federativa != 'bajio' AND Plantilla != 'proyecto' AND Tipo de contratacion = 'servicios' AND Caracter del procedimiento = 'nacional' AND Articulo = '42' AND Most_used_description_word_servici = '0' AND Most_used_UC_word_material = '1',0.0,0.02,0.0,184.68,0.02,184.68,1.0
Entidad federativa != 'bajio' AND Articulo != '41' AND Caracter del procedimiento = 'nacional' AND Most_used_UC_word_material = '1' AND Entidad federativa != 'pacifico norte' AND Dia_pub <= 14.50 AND Most_used_UC_word_general = '0' AND Most_used_description_word_servici = '0' AND Most_used_description_word_adquisicion = '0',0.0,0.02,0.0,184.68,0.02,184.68,1.0
Articulo != '41' AND Entidad federativa != 'pacifico norte' AND Caracter del procedimiento = 'nacional' AND Most_used_description_word_material = '0' AND Most_used_UC_word_material = '1' AND Most_used_UC_word_general = '0' AND Tipo de contratacion = 'servicios' AND Entidad federativa != 'bajio' AND Hora_pub <= 19.50,0.0,0.02,0.0,184.68,0.02,184.68,1.0
Caracter del procedimiento = 'nacional' AND Most_used_UC_word_general = '0' AND Hora_pub <= 15.50 AND Plantilla = 'adjudicacion' AND Most_used_UC_word_material = '1' AND Most_used_description_word_material = '0' AND Entidad federativa = 'norte',0.0,0.02,0.0,184.68,0.02,184.68,1.0
Entidad federativa != 'bajio' AND Most_used_UC_word_gyr = '0' AND Plantilla != 'licitacion' AND Articulo = '41' AND Entidad federativa != 'pacifico sur' AND Tipo de contratacion = 'adquisiciones' AND Most_used_UC_word_material = '1' AND Entidad federativa != 'centro' AND Dia_pub > 1.50,0.0,0.01,0.0,92.34,0.01,92.34,1.0
Tipo de contratacion = 'adquisiciones' AND Articulo = '42' AND Most_used_UC_word_gyr = '0' AND Plantilla = 'adjudicacion' AND Most_used_UC_word_general = '0' AND Caracter del procedimiento = 'nacional' AND Entidad federativa = 'norte',0.0,0.01,0.0,92.34,0.01,92.34,1.0
Articulo != '41' AND Caracter del procedimiento = 'nacional' AND Most_used_description_word_material = '0' AND Most_used_UC_word_material = '0' AND Entidad federativa = 'golfo' AND Plantilla = 'adjudicacion' AND Mes_pub <= 3.50,0.0,0.01,0.0,92.34,0.01,92.34,1.0
